study_hours,attendance,sleep_hours,previous_score,social_media_usage,stress_level,preparation_level,extra_activities,final_score
4.0581311290499436,51.10797573031718,5.30852841867953,73.72569462357836,3.4319752697015566,4.542719682496979,1,0,67.22705817982619
9.531785910894204,72.51405684270148,5.234893995359999,81.7842908174392,4.832593975799918,5.260920934375193,1,1,94.8701481655989
7.453942447208348,92.37675015258449,8.531272902605183,46.280413421512435,4.560965578740954,8.690926538819623,3,4,85.28796844176351
6.187255599871848,83.93349318457368,5.247730999247531,70.61681647445494,0.9233994281626421,4.060039474539029,5,4,98.65360388524161
1.982177084203147,88.39366887168698,5.359748630643155,67.16348890434367,0.8954968184488434,8.826847163309541,5,2,66.59108064722834
1.981947943193925,79.52700200264304,7.796991312089819,84.13397449123762,1.60904620646948,1.7932098787902233,3,1,87.50147059357154
1.0517943155978948,81.53659387107115,6.2486992122527,88.89565893128193,2.1664483580462233,7.991185934877676,4,4,72.97357733052763
8.728673384861883,90.95173909391916,7.883552784775906,30.79019014603014,2.4507334884508953,8.627928697492628,1,0,85.02605684526027
6.210592611560483,54.98008053155115,4.326830787821926,73.81129473882152,4.078183301000072,2.6363588755360485,1,2,79.97750228944444
7.226689489062432,69.36549781858844,6.437855968366922,33.369326942782386,0.3400825929950124,4.873118791349804,3,3,74.48967716423601
0.6955526958101232,53.27256650917613,4.1680680009164135,65.67581323002813,0.20803622535639832,2.4894979719729005,3,0,61.25542742763464
9.714143595538946,99.26008047979883,4.3132660172767725,48.696127387839084,2.351463377663454,7.35943716094796,4,1,95.66023908259083
8.408205087604006,96.64356038119679,8.532187266722055,49.940478968939175,4.182982152827883,5.818129912554911,5,4,95.61109370774527
2.5172215514436234,42.365608682110356,4.696226855587976,52.94230272440318,1.1606120577388954,6.717910120374889,2,0,46.312421698059374
2.2273371884674558,82.33451035094131,6.662103411376085,70.38400918822467,3.8490268875375104,2.7683827026059005,5,3,72.15392079880662
2.2423428436076214,95.51489904493995,6.055478013003533,51.71324776847,1.5589688276417968,2.9057127584717755,1,3,61.84595317821822
3.3903013081156086,50.83452070764001,5.736716631294213,77.62543828836823,5.3165166528810985,1.3734759295891572,3,1,68.76147257710389
5.48518610050626,74.07671383315777,8.499166728436363,56.29428006230153,5.374139665599699,3.8986078167615674,4,0,88.75457150958715
4.603477677100099,94.92929785528251,4.109116983877447,34.44295802014731,1.783723225687959,6.037701952003075,5,2,71.86180034499003
3.2666768318813983,42.03675871514793,7.3189484308779456,80.94438976146697,1.379962523779443,8.721414225975959,4,0,64.18988961992326
6.312602499862605,81.84521603481039,8.816972171067752,48.57429109852589,2.4678238323973876,7.002347027128127,5,3,94.84140911829084
1.8251916761943974,57.840940442353045,6.80084091730921,58.12984717395207,1.4431895110808923,4.918566910597763,1,1,50.68218116174352
3.2753741610845726,95.46377172259182,8.68411231016546,74.5538524094236,4.034303059750222,9.57808102954724,2,1,74.27643810695632
3.980437511290071,98.26349470992207,4.261289396430119,51.60965021466628,4.956388107289714,7.473206805182487,4,2,69.25777096050412
4.832664850061842,96.65598934680604,6.093966595370807,33.678067649536516,4.038552785467302,9.37148682576295,4,1,68.48299758734213
7.9591716332336295,68.45285299944783,5.300788954810256,54.304868055832884,4.946102683496097,5.748291759449491,2,1,84.4114939293971
2.3969009305044175,91.72255905935882,7.654104824903649,91.38915787512973,2.381952973244845,3.3301384731382564,4,1,94.80104723095565
5.385227164929311,90.67296391210422,8.906485452486233,71.71273582440628,0.9379018242531652,1.4754401772824979,4,1,100.0
6.127938404189403,59.146028394595334,5.282650312221239,73.64614466336846,4.427705684385553,7.534763663354655,5,1,92.94251303527071
0.9412789208399783,89.73492844904064,7.270873007370373,71.09833998644659,2.1628470308493233,2.0917269820498072,5,3,79.51633793014929
6.271676093063665,42.220458082929554,4.990488163798701,42.93448903236339,4.027624951374795,3.7249761544477047,2,0,62.79987456321126
2.1199791750292696,75.77619270892319,6.826651272858049,57.19170116664821,1.623863651890594,5.792238170955077,1,4,60.94627925526273
1.1179901333601554,53.80053023726218,6.319662433441681,78.81108689361568,0.487377808840036,6.0797492900177295,4,1,67.84674453925275
9.514412603906665,47.23401314663673,8.860026648157685,36.58923834095535,5.955490772926581,6.4052487728842245,1,4,72.775301855739
9.673504314208314,44.61719209775255,7.042636363482333,48.0604304458313,0.9372090475835957,2.4962979731473056,2,4,100.0
8.17977480710638,81.77732655268838,5.747531860434094,47.96074205028049,5.9305259637808865,4.417636643394839,2,3,78.64831850838952
3.3938308071470216,60.39249782608397,4.570478924439667,58.08123029364289,5.8636795953986836,6.5547480440527,5,1,58.112067622933395
1.4278850830606467,83.48600629172569,4.756234143674673,93.72396816124203,4.762908623448238,9.728369781704062,4,4,62.851803495276855
7.00021375186549,43.92138044793654,5.126584649756175,34.38766553444842,3.9565377724919855,7.548680239297198,3,1,66.10720218097556
4.681448690526213,58.91742026983662,5.2548333067014905,63.715564634738676,3.4668423015065084,9.30343381384562,2,2,52.25685652614706
1.6593632310253987,72.36947754252023,8.25308028920569,41.65870433079368,5.196609272267008,7.859908524827594,4,2,40.76644093945399
5.2041806460570665,87.44338989033781,6.806113941412624,93.09397545163337,1.7366371297169276,6.325452720031604,1,2,87.80670856828327
0.8266909505945748,59.12515017592419,6.616954556871832,37.36472780728517,2.8060872749092622,2.728210322227101,5,4,42.37669521395226
9.13854381974843,77.55348258622055,4.573844359346087,56.23406515350343,3.7163398161990115,7.000170867032617,1,2,81.14298598412671
2.9584098252001607,93.15866489417124,8.300698466747175,77.9625240142494,2.4671428552169465,6.610416093639164,2,3,80.5886437632001
6.793961701362829,76.95179129093827,7.614071516042419,75.79603782178394,2.5649187245416076,6.422222534115398,2,3,85.78498848687643
3.4612552228494042,53.97756848521803,4.338341809500008,57.4773613981056,1.9817080050125064,5.408072811894167,1,4,44.1575167262817
5.440646201189203,41.46404689339228,7.539175486148843,52.52407091692669,3.3853909001072164,5.75790943590348,2,1,65.46946426753914
5.693747653761156,92.2059324340558,6.717691086713231,55.84480460593659,5.103447168090696,4.0099827440629365,4,0,91.99467098562367
2.2561173274925066,41.27616465102323,4.408626728733891,47.17795710531155,1.209170268037877,5.673814233780728,2,1,36.747943253032
9.711053963763307,92.48210036105196,6.291503207643283,43.346641015941984,5.606598232520648,2.7780031511063044,5,1,100.0
7.863761821930588,71.73622804163273,6.423481435650235,61.39758034132785,4.134525922489378,8.246569576243392,4,1,92.49329733932215
9.425239944859797,96.34406191077377,4.828872700816379,47.45469414439448,4.939639276080181,2.6719925922883703,3,1,100.0
9.000859829062664,87.92699414641993,8.728490735001412,48.68500821832126,3.33714415578007,1.7646966090051976,2,0,100.0
6.1800497987053085,99.87604663200025,8.24987685740331,72.68914412584621,4.677100208544381,4.926214237214417,2,2,100.0
9.25780523271961,61.04270892710261,7.3451116866455415,92.95492656049299,0.09720238403680326,6.924766955554556,5,1,100.0
1.3406787694932352,86.0312973358676,6.311477805003036,69.23641803635938,4.910282548677211,4.939451424401872,5,3,67.54842153920835
